0.940795898,-0.40246582,0.260742188
0.938720703,-0.40234375,0.258178711
0.938354492,-0.402709961,0.256835938
0.939819336,-0.403320313,0.258178711
0.94128418,-0.402954102,0.259155273
0.941894531,-0.401367188,0.258544922
0.942260742,-0.400268555,0.258789063
0.942504883,-0.400268555,0.259887695
0.942260742,-0.400878906,0.259521484
0.941650391,-0.400878906,0.258056641
0.940795898,-0.399658203,0.2578125
0.940429688,-0.397705078,0.258300781
0.941040039,-0.396484375,0.258422852
0.941772461,-0.396606445,0.258789063
0.94152832,-0.396606445,0.259155273
0.940673828,-0.395629883,0.258911133
0.940307617,-0.394775391,0.259033203
0.940429688,-0.394775391,0.260009766
0.940795898,-0.394287109,0.259765625
0.941772461,-0.392578125,0.25769043
0.942382813,-0.391479492,0.257080078
0.941894531,-0.391845703,0.259277344
0.94152832,-0.391845703,0.260864258
0.941772461,-0.390014648,0.259277344
0.941772461,-0.389038086,0.256591797
0.941162109,-0.390258789,0.255737305
0.940673828,-0.390991211,0.256225586
0.940429688,-0.389404297,0.256958008
0.940307617,-0.387939453,0.257568359
0.940673828,-0.388549805,0.257324219
0.941162109,-0.389404297,0.256103516
0.941162109,-0.388916016,0.255981445
0.940795898,-0.388183594,0.25793457
0.939941406,-0.388061523,0.259643555
0.938964844,-0.388061523,0.258666992
0.938720703,-0.387817383,0.257202148
0.939697266,-0.387695313,0.257324219
0.940917969,-0.387329102,0.258178711
0.941650391,-0.38659668,0.25769043
0.941894531,-0.386474609,0.256835938
0.941894531,-0.38659668,0.257080078
0.941162109,-0.385864258,0.258300781
0.940795898,-0.385375977,0.258911133
0.94128418,-0.38659668,0.258300781
0.941650391,-0.387939453,0.256958008
0.941040039,-0.387084961,0.255615234
0.940673828,-0.385620117,0.255249023
0.94140625,-0.385986328,0.256469727
0.941650391,-0.387329102,0.257568359
0.940795898,-0.387695313,0.256835938
0.939941406,-0.387695313,0.255249023
0.940429688,-0.388061523,0.254760742
0.941162109,-0.388427734,0.255615234
0.940795898,-0.388549805,0.256225586
0.939941406,-0.388305664,0.256225586
0.940063477,-0.387939453,0.256469727
0.940917969,-0.388793945,0.257080078
0.940795898,-0.390014648,0.257446289
0.939941406,-0.389770508,0.257568359
0.940063477,-0.388549805,0.257324219
0.940917969,-0.389038086,0.256713867
0.941040039,-0.390625,0.256103516
0.940917969,-0.390380859,0.255859375
0.94140625,-0.389282227,0.256225586
0.942138672,-0.389404297,0.256469727
0.942138672,-0.389892578,0.256225586
0.942016602,-0.389770508,0.256347656
0.942504883,-0.39050293,0.256958008
0.942382813,-0.392822266,0.256958008
0.94152832,-0.39440918,0.256103516
0.94152832,-0.394287109,0.256225586
0.942260742,-0.394165039,0.257324219
0.942138672,-0.395385742,0.25769043
0.941162109,-0.396850586,0.256713867
0.940917969,-0.397583008,0.255737305
0.941162109,-0.397705078,0.255493164
0.94128418,-0.397338867,0.255493164
0.941650391,-0.397094727,0.255615234
0.941650391,-0.397216797,0.255737305
0.940429688,-0.397827148,0.255249023
0.939453125,-0.398681641,0.254272461
0.940429688,-0.399047852,0.25402832
0.942016602,-0.398803711,0.254638672
0.942138672,-0.398071289,0.254882813
0.941162109,-0.398071289,0.254638672
0.940917969,-0.398803711,0.254882813
0.941894531,-0.398681641,0.255737305
0.943115234,-0.397705078,0.256103516
0.943237305,-0.397949219,0.255859375
0.942626953,-0.399658203,0.255615234
0.942504883,-0.400878906,0.255981445
0.943237305,-0.401123047,0.256347656
0.943603516,-0.401245117,0.255859375
0.943603516,-0.401367188,0.254638672
0.943725586,-0.400878906,0.254638672
0.943603516,-0.400634766,0.256103516
0.942504883,-0.401611328,0.257202148
0.941650391,-0.40234375,0.256958008
0.941772461,-0.401855469,0.256469727
0.941894531,-0.401123047,0.256713867
0.94152832,-0.401000977,0.256469727
0.94152832,-0.401855469,0.255737305
0.941772461,-0.403076172,0.255737305
0.94152832,-0.403686523,0.256835938
0.94128418,-0.402954102,0.257446289
0.94152832,-0.40222168,0.257324219
0.94152832,-0.403320313,0.256958008
0.941162109,-0.404541016,0.256958008
0.940795898,-0.404174805,0.257324219
0.940795898,-0.403442383,0.257324219
0.94128418,-0.403442383,0.256469727
0.941894531,-0.403442383,0.255981445
0.941772461,-0.403198242,0.256835938
0.941162109,-0.403686523,0.257202148
0.940307617,-0.404174805,0.256225586
0.939941406,-0.403686523,0.255493164
0.940063477,-0.403198242,0.255981445
0.940795898,-0.403808594,0.256347656
0.941162109,-0.404052734,0.256225586
0.940795898,-0.403442383,0.256835938
0.940307617,-0.403564453,0.25769043
0.940307617,-0.404296875,0.256958008
0.940307617,-0.403686523,0.255493164
